term_str,0,1,2,3,4,5
home,-0.02405090968752167,-0.02552826321037463,0.00922470716815699,0.026756654688635726,0.008401591830738754,0.01949632691496462
cried,0.011971766904334546,0.03548120432228291,0.022733826797891418,0.022999888382408906,-0.029774835181525384,0.12670277956870787
certain,0.008648917132640044,-0.013319663142090932,0.008389614396125483,-0.01960248923637542,0.006492270486462226,0.02282926878529054
why,-0.0009133473020607186,0.011944090496731619,0.012099185642006322,-0.005745206734720176,-0.05337072135030507,0.06639238831892992
whether,-0.00043959547067839305,-0.013009231528812004,0.006060126432872931,-0.009780061357399394,0.0008281821513598797,0.01639565061768128
looking,0.0006031407239542379,-0.03362707399753978,0.0267315133337179,0.022515554406115523,-0.005995646370930342,0.06267938811941608
set,0.0027187696427607736,-0.027133073438214417,0.0037035772652767585,0.014049104329049905,0.003710708689681347,0.02470200672890882
general,-0.015944500736586882,-0.020416742932410907,-0.008754819041730033,-0.007455706092058728,0.012171328529037795,0.009460600415657688
manner,-0.019065589206595266,-0.018046340322710852,0.006839302971513472,0.0014992579582073229,0.00019639521338904453,0.016270655665112266
felt,-0.03494914010951842,-0.01101846842027534,0.006464848750896923,0.027367934136260274,0.021148035364753626,0.02274929964320209
within,-0.0007013728014751444,-0.00010338454043272216,0.0005111983676653975,0.011514781595886814,0.03851568341553941,0.026911962362902407
oh,-0.009765530621752888,0.08019654088049125,-0.0032045537895811584,0.05121577545345688,-0.05533709463534387,0.094822288262606
times,0.016989280755396987,-0.026568748737961376,0.0037908198838105525,0.006495536946783128,0.016912900658202428,0.02351136310847133
find,-0.013992652460598541,0.0005528717155718663,0.0008094123128152173,-0.006389751697363447,-0.02026116044487927,0.03131335705279457
rest,-0.0034080047851667017,-0.024949974126501986,0.012788911768665414,0.01811333984121821,0.01552403459748308,0.03390729706214617
known,-0.008758664876980885,-0.02356830339893814,-0.007947526418006163,0.00857029962769128,0.009136125994177197,0.005404006075390368
true,0.007665081451959828,-0.0060066793253277535,0.003122508203286269,-0.021110333052186073,-0.023250116618267463,0.02661988674143118
people,-0.007450435472490579,-0.01962476552117646,0.026857614941443814,-0.014520374777162396,0.01749215035530939,0.04573754815074528
others,-0.0050411521993838256,-0.019512590344989235,0.011856407713129203,0.0025511812266706888,0.007156898164453046,0.034282554326074806
passed,-0.006868253368560064,-0.009624194856711872,0.011092027056740986,0.019540445621526157,0.02774848237943047,0.029041881715523146
best,-0.005101886131099183,-0.01468712758040825,0.010964648846604887,0.003659044200322741,-0.013192924666733866,0.03364287047846432
short,-0.010435894752819726,-0.026307946651337972,0.0035706063218704613,0.007890465991929756,5.4938732570788714e-05,0.026379176232031412
high,0.021300507026057392,-0.008985497260847936,0.0006226948092903082,0.004590534036285657,0.029221413933092803,0.0355444289764209
moment,-0.018838095115657125,-0.009049817823318311,-0.0019669451945639863,0.024965201987717383,0.004659470339316175,0.04451921585229259
hands,0.024631398111907673,-0.022838021861441953,-0.0017352301007396169,0.04293040609044886,-0.006874834048072119,0.02960348284549352
name,0.00022536126605994996,-0.017335103834307714,0.010960089789368707,0.01784766449020101,-0.0022420817008094304,0.024156049148607348
quite,-0.0448791329649598,-0.032364427328547565,0.007532050684132778,0.012954964555402657,-0.025581591509510702,0.05081553275435802
put,-0.0002600848121556457,-0.019581889125656175,0.01504058495209504,0.016981932654102718,-0.01959205164189408,0.04585766681708909
sure,-0.04545661922562271,-0.01498209705335678,0.000226130664630572,-0.0017666257227349838,-0.04020394725207562,0.03507942298634592
sometimes,0.004896112317559446,-0.019457638991338923,0.0026809392949706918,0.01176838053950963,0.0139229474357368,0.0189556763900819
sight,0.016517078586074766,-0.02376277189639607,0.00010585722033832984,0.02539874792301551,0.03104959038046076,0.044032417680519784
rather,-0.018114242150964778,-0.0211985930278351,0.004604818561622085,-0.00038243628755002,-0.02038479754366999,0.03272195857576317
looked,-0.009066952784051728,-0.02520035505810459,0.021411024113593757,0.03182668086243636,0.0068733367680560015,0.044565089910312404
word,-0.007033373966411562,-0.011977655718315995,-0.00038441960720069196,0.014391043223944258,-0.022496628900956786,0.03693830348320921
fine,0.0047146782119900825,-0.025821565124529725,0.015270465662798292,0.005410302371171237,0.001834596311730485,0.036923902397727006
new,0.009999917718842916,-0.012318912356031397,0.015853260886013208,-0.0028264796111446494,0.017334429774821178,0.039220036033268776
next,-0.004909661747456431,-0.027700669870004323,0.018173316939448337,0.01863852184743773,0.006211761106314331,0.026362554331465286
themselves,0.010806258236198631,-0.021692065963260967,0.02446718155108954,-0.0028316664443363286,0.03244929850100425,0.033954630467559116
together,-0.010973798756449372,-0.019308060250376766,0.005839183711787731,0.013830479486866951,0.01839187720438353,0.0368735532302403
given,-0.016998543580518492,-0.015901600385277666,0.003390666582372716,0.0085400092895012,-0.007091658921863017,0.0018021877223953046
small,0.015418855712643625,-0.02752123984284816,0.0053247076895865785,0.0038875140066882267,0.025212250684149534,0.03864295498889005
sea,0.0804150605173008,-0.0909686572458254,-0.04690803496035585,0.12476630701190888,0.08681779078990243,0.01958325231872804
days,0.0005489514826876801,-0.022333234703980957,0.008811427966770835,0.015284566701162213,0.03360630619456895,0.022338281432349002
poor,-0.0061984457214054895,-0.015007602307993258,0.00263460840129441,0.02517491857461565,-0.023736976155088314,0.05371601749191683
knew,-0.018927207031575216,-0.008832232629433086,0.007652755555547059,0.022659740636223214,0.011823334900878,0.022099878264350586
making,0.0003063641622774702,-0.02506605269977408,0.012448902911992424,0.01262542716778498,0.010126875692033493,0.02177163170663433
face,0.009484353629223799,0.010018677598117707,0.00971070375412615,0.022013920935542188,0.013166868837675441,0.04595326336928957
friend,-0.0315389143424903,-0.021290306830749978,0.019563575940950963,-0.010670102866813393,-0.0651677934067607,0.06474951202080236
ill,-0.01132005468993062,-0.013877551389670553,0.006294426197619943,0.022239163553217412,-0.04152336134223002,0.02723832085802115
therefore,-0.01986488003973029,-0.007178328409262045,-0.014018754347373954,-0.003945342146658613,0.0014822965172520421,0.007794773390819083
whose,0.003732659000474896,-0.0053583260574150745,0.006677375271576184,-0.01275017343384095,0.025996529128978155,0.025474529560841914
open,0.004489836530037708,0.0007764561491906769,0.009874697980064873,0.015234340259971077,0.029169776742331496,0.029565303811076894
turned,0.0053983998825463606,-0.012012959530424909,0.013233539950344464,0.026987467482376407,0.009236917200646672,0.03467542801774293
house,-0.030193305118261925,-0.01719892084769984,0.03241396767791805,0.002559519370507731,0.0394708948699035,0.06163388529824678
near,0.002190282957973095,-0.02010504987802767,0.005086836070472229,0.019355253953220044,0.02745056383453835,0.03748092722245366
air,0.019150900452610652,-0.005524657076394312,-0.002443017435146923,0.010242675173909525,0.03754007248894272,0.046304337880414354
end,0.0065384614428628226,-0.01750172393652607,0.0012187392646569812,0.006934723692505293,0.019903092592390353,0.02945360576411321
point,-0.0071013206408564325,-0.010445802309881081,-0.00875660402843869,-0.00190612839626271,-0.00014279043103038305,0.022478467940276994
love,-0.03354340570608731,0.031533616201381495,0.008141443442836916,0.00862046270371027,0.009978375398994292,0.017805851012099066
less,-0.011778320992908558,-0.011152058440617642,0.00923053257345261,-0.019000791748337423,0.00547305452740988,0.0183736239654436
kind,-0.022654962328269294,-0.01395609724113798,0.010875009641757714,-0.006159323257613338,-0.018259531058998437,0.029484578207530285
does,-0.021604114572867088,0.00032960761140659277,-0.0084311790483125,-0.017566543132308397,-0.04762503619987489,0.03254067273037064
going,-0.00923566132689637,-0.04290665368748018,0.016494524894159358,0.03751108220226803,-0.0086831387318067,0.046507673650636745
told,-0.013893699806131019,-0.028246529140796596,0.017424927158515395,0.013312404687094827,-0.015459845224279536,0.02722996173973401
gone,-0.015871496711302006,0.0002877536320597727,-0.004786265209996935,0.03095940199604425,0.005541761962058024,0.02555789513649715
coming,-0.00931326529963812,-0.016164566232465854,0.003271960881701843,0.022847037654905113,-0.009923311697565655,0.02030858355231857
whom,-0.013559967335649582,-0.016316048468414727,0.012544245841756613,-0.001238451492043342,0.004135750807028178,0.011907349329749104
hope,-0.04315262041155994,-0.0018019123155450486,-0.0034298571874619072,0.0013113484856294372,-0.026451872038726152,0.019713139986642873
sort,0.004244887437581523,-0.03007194803038868,0.0004501810955633226,-0.004589765203935998,-0.037805115910431245,0.04962545639912606
room,-0.051892251014220236,0.001376099017223185,0.012643128451219673,0.050902403883433665,-0.02689684984700481,0.03373099991819024
get,-0.007909470214394813,-0.02879346563826464,0.004592707507165285,0.014437994851892106,-0.04578056759288857,0.03953665015427744
night,0.0252164650805284,-0.019647304001136238,0.024124040627213933,0.05707690704848942,0.0183452198325733,0.024127413342174074
feel,-0.02154394750780112,0.017749724808685717,-0.0014011185437808624,0.01573615849006608,-0.018450445978343104,0.019663903395696656
speak,-0.02093633407340226,0.018083708885034723,-0.0014730516256335694,0.012038330283557027,-0.020861623073903834,0.03669904377904633
saw,-0.01849258847324799,-0.010997441722625543,-0.002050582800177507,0.023092445213820905,0.021815931317362806,0.045908825135478615
since,-0.008667700620308801,-0.008887158095661863,0.010586808324083775,-0.017256010987309375,-0.010070494438006861,0.031065987155600404
took,-0.008261786411248629,-0.022210387214553547,0.011515668714567022,0.008093855931769943,0.0009992440805071138,0.0348735086317897
years,-0.004882464186618254,-0.020007034692264898,-0.006583101545740744,-0.01220398730980545,0.022424059509925744,0.016061151640949695
hear,-0.019376843880373282,-0.003542534909194734,0.003442654399240179,0.01224411173670506,-0.043977593291432804,0.03463151991649031
along,0.03073404830870215,-0.0461127565496593,0.010536014012329281,0.020052424805082666,0.05009933031537515,0.03599860957762588
brought,-0.00838811567964999,-0.02125918475034914,0.005884161029059799,0.015701247368144263,0.02550050895429058,0.01620030290284269
believe,-0.02914688164013999,-0.013227745560234533,0.0002093913686984814,-0.002082052301328368,-0.022296729196883927,0.041135324839900615
myself,-0.009955030412262525,-0.01567104132702736,0.029674817163451377,-0.0022338154426814164,-0.022182014356289605,0.04099617770821724
tell,-0.0058541161792436385,0.006644352833558742,0.004020090360806695,0.021553470835098443,-0.037031052835244924,0.05238503189244267
