topic_id,phi_sum,theta_sum,h,top_terms,label,genre_sea,genre_travel,genre_domestic,genre_historical,genre_gothic,auth_MELVILLE,auth_AUSTEN,title_REDBURN HIS FIRST VO,title_PIERRE OR THE AMBIGU,title_TYPEE A ROMANCE OF T,title_MARDI AND A VOYAGE T,title_THE CONFIDENCE MAN H,title_NORTHANGER ABBEY,title_WHITE JACKET OR THE ,title_LOVE AND FREINDSHIP ,title_LADY SUSAN,title_MANSFIELD PARK,title_MOBY DICK OR THE WHA,title_PRIDE AND PREJUDICE,title_OMOO ADVENTURES IN T,title_ISRAEL POTTER HIS FI,title_EMMA,title_PERSUASION,title_SENSE AND SENSIBILIT,author,genre,title
0,492.74394080252034,6.609160356090538,7.6,"said, london, friends, town, gentleman, street, john, story","0: said, london, friends, town, gentleman, street, john, story",0.002190960419242756,0.01821862248740725,0.0032232841721377935,0.02803658423232232,0.0001408838232764213,0.006624344684631314,0.0029295430363889823,0.01236633165018911,0.00016329723139396943,6.262671790999585e-05,0.00022110726540448995,0.0408280629586065,5.84603224570506e-05,0.00013250819270418295,0.00033610793264020165,0.023069097038186295,4.1174340520271556e-05,0.0005954532730557649,7.295904258727021e-05,0.0009314787527118142,0.02803658423232232,4.7354167768094536e-05,4.180999937072617e-05,0.0002544149210761874,auth_MELVILLE,genre_historical,title_THE CONFIDENCE MAN H
1,8405.77266849442,27.817107757365292,7.93,"whale, great, sea, fish, may, head, right, white","1: whale, great, sea, fish, may, head, right, white",0.04824672811615971,0.014504027254352401,0.00019862337930994469,0.0002218852800583452,0.0034137938899850015,0.03265307365110377,0.00018561423331461645,0.00701507935505836,0.0043262091583478645,0.007748555102379615,0.010159576021712113,0.02543609178023025,5.846032245705349e-05,0.0007412944420294166,0.0003361079326403397,0.0003807906703073806,4.117434052028341e-05,0.15704066405676234,7.295904258726678e-05,0.005306469276767872,0.0002218852800583452,0.00047435435408212475,4.180999937073841e-05,5.9681533254620535e-05,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA
2,26865.446872313743,70.62249153136048,8.66,"could, seemed, still, yet, thought, mind, without, first","2: could, seemed, still, yet, thought, mind, without, first",0.04081993186306844,0.06100735200249241,0.026473129437926318,0.07750465067693478,0.18902460347417036,0.07091629336367881,0.03096898853962119,0.03668887539448034,0.22005511887028864,0.11535184814943877,0.041277882501118204,0.08804193921617497,0.07491238556586452,0.02789823406535361,0.0011837481958740697,0.014040112174555147,0.03068020024079808,0.051122237859589824,0.017129665909213575,0.00880216031678988,0.07750465067693478,0.03232671316052525,0.022536804083607174,0.051617838199562956,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU
3,4872.7547442493815,16.37316094677582,7.36,"may, play, part, anything, never, think, say, general","3: may, play, part, anything, never, think, say, general",0.0086257193603972,0.03019611893963061,0.014152930648243878,0.003657621079390713,0.009840895526694224,0.013474628165948901,0.014729721574009669,0.018476929129530292,0.006978428351485315,0.009902282626325915,0.004504801928557966,0.059737255327076896,0.020367387719397917,0.008956441355128512,0.023903124061910596,0.013778396788075386,0.04369901388895773,0.008660198445187013,0.004616177007034202,0.006187437961364697,0.003657621079390713,0.004665871206971199,0.003570552906253908,0.008565861807767711,auth_AUSTEN,genre_travel,title_THE CONFIDENCE MAN H
4,6955.096376598786,19.499302941770946,7.41,"ye, said, old, captain, dont, say, see, well","4: ye, said, old, captain, dont, say, see, well",0.030861553909796956,0.012242205649193035,0.00028873733577389074,0.03382463380440826,0.0031261685237986537,0.022830370487198902,0.0002799042744068518,0.03003265677130812,0.003923630009108818,0.001791886094046919,0.005734309352424046,0.012513401366351921,0.00019356822298063239,0.0254228984449002,0.00033610793264021596,0.000380790670307331,0.00018634000153741975,0.07046172034646618,7.295904258726887e-05,0.01627761114103044,0.03382463380440826,0.0006578744986728386,4.180999937074084e-05,0.0002645409157999941,auth_MELVILLE,genre_historical,title_MOBY DICK OR THE WHA
5,12831.4760910293,34.86557751614175,8.56,"among, little, island, however, two, every, several, seen","5: among, little, island, however, two, every, several, seen",0.01897225105674801,0.11074823637604661,0.00581170076281884,0.004835605664171221,0.0042544266004499376,0.038770501956970946,0.0057205115350794115,0.026090333517757604,0.004098125749849348,0.26568378701814077,0.025448045333352647,0.023287621156394007,0.0048292103736263,0.006838837823519924,0.007784431476567439,0.0032706596448803366,0.004719213348559503,0.013887350343417114,0.004825471896900848,0.14250002476552817,0.004835605664171221,0.0012949071333533489,0.01822814120278839,0.008209012452264651,auth_MELVILLE,genre_travel,title_TYPEE A ROMANCE OF T
6,13826.433657648504,53.24124309336247,7.79,"said, lord, us, old, cried, king, many, may","6: said, lord, us, old, cried, king, many, may",0.09594102081388636,0.010749644062348171,0.00376805719659168,0.014061618490788463,0.008600675291830078,0.061196354032565764,0.0036656951068310575,0.014323955351273926,0.01021471124737778,0.0004493031474095786,0.22050380520125065,0.014327164299820441,0.0026651882294933694,0.023738364669364114,0.019842813272149467,0.0025194582156928733,0.0011346094586170339,0.014194879624348481,0.0037933519201826436,0.011093970522536058,0.014061618490788463,0.0005146206301505971,0.0022505946888464815,0.0038804379371385365,auth_MELVILLE,genre_sea,title_MARDI AND A VOYAGE T
7,21492.604623066385,47.08073513123706,8.6,"said, good, little, say, friend, well, dont, may","7: said, good, little, say, friend, well, dont, may",0.01748751315551564,0.14867011927528326,0.006175226516785003,0.09429876383435223,0.022353870242696364,0.05281997344820993,0.0065381967073611285,0.021695348570131088,0.025689887013317668,0.008490817991648443,0.022241623035769136,0.3189296772540109,0.010085937602347076,0.010968672240929955,0.013494483996653166,0.0061681971631822674,0.007559370708945349,0.01273730138125798,0.00446636135335312,0.01992299763574782,0.09429876383435223,0.0052700390804649305,0.008395640481012961,0.0033536915484381276,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H
8,35.33333333333509,1.7649013555677386,9.76,"beyond, get, home, according, frequently, voyage, money, glance","8: beyond, get, home, according, frequently, voyage, money, glance",0.0007730673740025313,0.006389909375547437,0.00012111509466533511,9.633729714954226e-05,0.00014088382327627196,0.0020310484845740893,0.00011529983137653539,0.0039577854578048,0.00016329723139379943,6.262671790993216e-05,0.00022110726540426346,0.014478756266985563,5.846032245697765e-05,0.0001325081927040424,0.00033610793263986306,0.000380790670306955,4.117434052022798e-05,0.00017999241254996326,7.295904258717694e-05,0.00013541413323333576,9.633729714954226e-05,4.7354167768040163e-05,4.180999937068136e-05,5.9681533254547425e-05,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H
9,7732.03607446167,21.63097030850862,7.91,"boat, whale, ship, fish, line, crew, two, way","9: boat, whale, ship, fish, line, crew, two, way",0.03524554357148521,0.015297984944702518,0.0001397049663058605,0.01899160104553968,0.0013515390373971404,0.02539626756908444,0.00013216429576899463,0.006757175628888269,0.0017031657054948851,0.009182420262578976,0.017423121624970887,0.024035185692109565,5.8460322457047554e-05,0.003339117538468482,0.00033610793264020946,0.0003807906703072776,4.117434052028324e-05,0.09780247236953157,7.295904258725956e-05,0.008244096309648445,0.01899160104553968,4.7354167768098026e-05,0.0002765071288308211,5.968153325461619e-05,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA
10,703.8238770676211,5.396843773268315,7.3,"stone, less, yet, beneath, simple, point, old, seemed","10: stone, less, yet, beneath, simple, point, old, seemed",0.0020367395761133763,0.0069077386157347,0.00018109653411401043,0.03943921965236458,0.012618196077183093,0.006277520591678088,0.00018248883335910405,0.004650861724751964,0.015996135181457483,0.0010106421218091816,0.002852671338698394,0.014779685871088947,0.00019609743565792234,0.0005104193774046809,0.0003361079326402109,0.00038079067030731485,0.000160227865077621,0.00042379201802143437,0.00012442588811454656,0.0007129340768515923,0.03943921965236458,0.0001350567265481323,4.180999937072931e-05,0.00014961530653644545,auth_MELVILLE,genre_historical,title_ISRAEL POTTER HIS FI
