term_str,n,n_chars,p,i,h
amended,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
amendment,8,9,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
amends,7,6,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
amiable,24,7,0.00011718521122634323,13.058921866415917,0.0015303125173042615
amiably,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
amicable,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
amidst,4,6,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
amiss,4,5,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
among,60,5,0.0002929630280658581,11.736993771528555,0.0034385052356971217
amongst,11,7,5.370988847874065e-05,14.184452748499776,0.0007618453752538893
amount,5,6,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
amounted,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
ample,3,5,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
amply,3,5,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
amuse,6,5,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
amused,9,6,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
amusement,24,9,0.00011718521122634323,13.058921866415917,0.0015303125173042615
amusements,3,10,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
amusing,4,7,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
an,597,2,0.002914982129255288,8.422297245872269,0.02455084595899369
analogy,3,7,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
ancestry,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
anchorage,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
ancient,5,7,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
and,6290,3,0.03071229077557079,5.025040065370422,0.15433049164654966
anecdotes,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
anew,4,4,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
angel,3,5,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
anger,7,5,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
angrily,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
angry,17,5,8.300619128532646e-05,13.556421525886734,0.0011252669183222713
anguish,3,7,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
animate,3,7,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
animated,11,8,5.370988847874065e-05,14.184452748499776,0.0007618453752538893
animating,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
animation,9,9,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
ankle,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
ankles,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
annamaria,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
anne,503,4,0.002456006718618777,8.669469777331546,0.02129227601998871
annexed,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
annihilation,2,12,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
announce,7,8,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
announced,8,9,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
announcing,4,10,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
annual,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
annuities,4,9,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
annuity,4,7,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
annum,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
another,145,7,0.0007079939844924904,10.463975277122138,0.007408431550080614
answer,64,6,0.00031249389660358197,11.643884367137073,0.0036386427974881967
answerable,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
answered,39,8,0.00019042596824280777,12.358482148274826,0.002353375929096689
answering,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
answers,4,7,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
anticipate,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
